Pais_de_residencia;Via_de_acceso;Tipo_de_alojamiento;Forma_de_organizacion_del_viaje;Duracion_del_viaje;Motivo_del_viaje;Comunidad autonoma de destino;Periodo;Total
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M03;2018323
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M02;4423576
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M01;4138371
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M12;4314612
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M11;4664345
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M10;7624486
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M09;8914761
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M08;10121985
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M07;9887047
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M06;8828499
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M05;7952788
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M04;7169675
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M03;5649577
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M02;4380504
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M01;4195641
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M12;4354798
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M11;4536873
