Comunidad_autonoma_de_destino;Motivo_del_viaje;Via_de_acceso;Pais_de_residencia;Tipo_de_alojamiento;Forma_de_organizacion_del_viaje;Duracion del viaje;Periodo;Total
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2020M03;2018323
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2020M02;4423576
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2020M01;4138371
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M12;4314612
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M11;4664345
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M10;7624486
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M09;8914761
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M08;10121985
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M07;9887047
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M06;8828499
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M05;7952788
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M04;7169675
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M03;5649577
Total nacional;Total de motivos del viaje;Total de vias de acceso;Total pais de residencia;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;2019M02;4380504
